trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
1,2024-05-01 02:50:00,2024-05-01 02:55:00,SHORT,2291.63,2291.71,2291.71,2291.71,2291.47,2291.38,False,25.0,-8.0,-200.0,bearish,2024-05-01 02:45:00,sl_hit,ny_overlap,22,23,1
2,2024-05-01 21:05:00,2024-05-01 21:10:00,LONG,2301.75,2301.67,2301.67,2301.67,2301.91,2302.0,False,24.5,-8.0,-196.0,bullish,2024-05-01 21:00:00,sl_hit,london_primary,241,242,1
3,2024-05-01 21:25:00,2024-05-01 21:30:00,LONG,2313.42,2313.34,2313.34,2313.34,2313.58,2313.67,False,24.01,-8.0,-192.08,bullish,2024-05-01 21:20:00,sl_hit,london_primary,245,246,1
4,2024-05-01 21:40:00,2024-05-01 21:45:00,LONG,2324.18,2324.1,2324.1,2324.1,2324.34,2324.43,False,23.53,-8.0,-188.24,bullish,2024-05-01 21:35:00,sl_hit,london_primary,248,249,1
5,2024-05-01 21:45:00,2024-05-01 21:50:00,LONG,2325.33,2325.25,2325.25,2325.25,2325.49,2325.58,False,23.06,-8.0,-184.48,bullish,2024-05-01 21:40:00,sl_hit,london_primary,249,250,1
6,2024-05-01 21:50:00,2024-05-01 21:55:00,LONG,2326.37,2326.29,2326.29,2326.29,2326.53,2326.62,False,22.6,-8.0,-180.8,bullish,2024-05-01 21:45:00,sl_hit,london_primary,250,251,1
7,2024-05-01 22:35:00,2024-05-01 22:40:00,SHORT,2314.34,2314.42,2314.42,2314.42,2314.18,2314.09,False,22.150000000000002,-8.0,-177.2,bearish,2024-05-01 22:30:00,sl_hit,london_primary,259,260,1
8,2024-05-01 22:40:00,2024-05-01 22:45:00,SHORT,2314.91,2314.99,2314.99,2314.99,2314.75,2314.66,False,21.7,-8.0,-173.6,bearish,2024-05-01 22:35:00,sl_hit,london_primary,260,261,1
9,2024-05-01 22:55:00,2024-05-01 23:00:00,SHORT,2309.78,2309.86,2309.86,2309.86,2309.62,2309.53,False,21.27,-8.0,-170.16,bearish,2024-05-01 22:50:00,sl_hit,london_primary,263,264,1
10,2024-05-01 23:00:00,2024-05-01 23:05:00,SHORT,2310.83,2310.91,2310.91,2310.91,2310.67,2310.58,False,20.84,-8.0,-166.72,bearish,2024-05-01 22:55:00,sl_hit,london_primary,264,265,1
11,2024-05-02 02:50:00,2024-05-02 02:55:00,LONG,2324.22,2324.14,2324.14,2324.14,2324.38,2324.47,False,20.43,-8.0,-163.44,bullish,2024-05-02 02:45:00,sl_hit,ny_overlap,298,299,1
12,2024-05-02 22:05:00,2024-05-02 22:10:00,SHORT,2306.14,2306.22,2306.22,2306.22,2305.98,2305.89,False,20.02,-8.0,-160.16,bearish,2024-05-02 22:00:00,sl_hit,london_primary,529,530,1
13,2024-05-02 22:30:00,2024-05-02 22:35:00,SHORT,2303.11,2303.19,2303.19,2303.19,2302.95,2302.86,False,19.62,-8.0,-156.96,bearish,2024-05-02 22:25:00,sl_hit,london_primary,534,535,1
14,2024-05-02 22:35:00,2024-05-02 22:40:00,SHORT,2302.86,2302.94,2302.94,2302.94,2302.7,2302.61,False,19.23,-8.0,-153.84,bearish,2024-05-02 22:30:00,sl_hit,london_primary,535,536,1
15,2024-05-03 01:00:00,2024-05-03 01:05:00,LONG,2305.22,2305.14,2305.14,2305.14,2305.38,2305.47,False,18.84,-8.0,-150.72,bullish,2024-05-02 23:55:00,sl_hit,ny_overlap,552,553,1
